ds,vmin,vmax,Rwindow,threshold,match_runtime_sec,rank_score,score_valid,score_corr,score_mae,valid_count,invalid_count,valid_ratio,mae,norm_mae,corr,nan_quality_count,core_frame_start,core_frame_end_exclusive,core_total_count,core_valid_count,core_valid_ratio,core_mae,core_norm_mae,core_corr
10,0.8,1.2,50,1.0,11.2309,0.844517133572732,0.9910394265232975,0.6644456131519431,0.8851409758431386,1106,10,0.9910394265232975,128.06781193490053,0.11485902415686146,0.6644456131519431,10,5,1111,1106,1106,1.0,128.06781193490053,0.11485902415686146,0.6644456131519431
50,0.8,1.2,10,0.9,16.397,0.8443134823455247,0.6541218637992832,0.9999979666668649,0.9997297131273419,730,386,0.6541218637992832,0.3013698630136986,0.00027028687265802566,0.9999979666668649,50,25,1091,1066,1066,1.0,23.455909943714822,0.02103669053247966,0.9609322352922657
50,0.5,1.5,10,0.9,24.2083,0.8366524337647929,0.6370967741935484,0.9999979683968431,0.9997313201263931,711,405,0.6370967741935484,0.29957805907172996,0.0002686798736069327,0.9999979683968431,50,25,1091,1066,1066,1.0,48.9155722326454,0.04387046837008556,0.9141138392683531
20,0.3,2.0,10,1.0,15.1809,0.83548329513351,0.982078853046595,0.655248329177599,0.8763231972766848,1096,20,0.982078853046595,137.89963503649636,0.12367680272331512,0.655248329177599,20,10,1106,1096,1096,1.0,137.89963503649636,0.12367680272331512,0.655248329177599
20,0.3,2.0,30,1.0,15.1733,0.83548329513351,0.982078853046595,0.655248329177599,0.8763231972766848,1096,20,0.982078853046595,137.89963503649636,0.12367680272331512,0.655248329177599,20,10,1106,1096,1096,1.0,137.89963503649636,0.12367680272331512,0.655248329177599
20,0.3,2.0,50,1.0,15.7921,0.83548329513351,0.982078853046595,0.655248329177599,0.8763231972766848,1096,20,0.982078853046595,137.89963503649636,0.12367680272331512,0.655248329177599,20,10,1106,1096,1096,1.0,137.89963503649636,0.12367680272331512,0.655248329177599
50,0.3,2.0,50,0.9,40.1819,0.832127827270574,0.6290322580645161,0.9980487381658393,0.9989587725013734,702,414,0.6290322580645161,1.160968660968661,0.0010412274986266016,0.9980487381658393,50,25,1091,1066,1066,1.0,74.04221388367729,0.0664055729898451,0.8420765668254723
50,0.3,2.0,30,0.9,39.9311,0.8317251721371558,0.6281362007168458,0.9980488027497527,0.998962404764494,701,415,0.6281362007168458,1.1569186875891584,0.0010375952355059716,0.9980488027497527,50,25,1091,1066,1066,1.0,74.04221388367729,0.0664055729898451,0.8420765668254723
30,0.8,1.2,10,0.9,13.1497,0.829364958292504,0.6209677419354839,0.9999906342028515,0.9995548049359708,693,423,0.6209677419354839,0.4963924963924964,0.00044519506402914473,0.9999906342028515,30,15,1101,1086,1086,1.0,58.270718232044196,0.05226073384039838,0.8502380324172489
30,0.5,1.5,50,0.9,15.966,0.8267986454425084,0.6164874551971327,0.9990079498904539,0.9985074043174471,688,428,0.6164874551971327,1.6642441860465116,0.0014925956825529252,0.9990079498904539,30,15,1101,1086,1086,1.0,73.02854511970534,0.06549645302215726,0.8420236669152105
