frame_id,x,y,yaw_rad
494,162.1196,-314.0794,-3.094429
495,160.6243,-314.1500,-3.094429
496,159.1289,-314.2206,-3.094429
497,157.6336,-314.2912,-3.094429
498,156.1382,-314.3618,-3.094429
499,154.6429,-314.4323,-3.094429
500,153.1476,-314.5029,-3.094429
501,151.6522,-314.5735,-3.094429
502,150.1569,-314.6441,-3.034439
503,148.6615,-314.7147,-2.848650
504,147.1662,-314.7852,-2.658459
505,145.6708,-314.8558,-2.476999
506,144.5120,-315.7637,-2.476999
507,143.3532,-316.6717,-2.476999
508,142.1944,-317.5796,-2.476999
509,141.0356,-318.4875,-2.476999
510,139.8767,-319.3954,-2.476999
511,138.7179,-320.3034,-2.476999
512,137.5591,-321.2113,-2.476999
513,136.4003,-322.1192,-2.476999
514,135.2415,-323.0271,-2.476999
515,134.0827,-323.9350,-2.476999
516,132.9238,-324.8430,-2.476999
517,131.7650,-325.7509,-2.476999
518,130.6062,-326.6588,-2.476999
519,129.4474,-327.5667,-2.476999
520,128.2886,-328.4747,-2.476999
521,127.1298,-329.3826,-2.476999
522,125.9709,-330.2905,-2.476999
523,124.8121,-331.1984,-2.476999
524,123.6533,-332.1064,-2.476999
525,122.4945,-333.0143,-2.476999
526,121.3357,-333.9222,-2.476999
527,120.1769,-334.8301,-2.476999
528,119.0180,-335.7381,-2.409039
529,117.8592,-336.6460,-2.228819
530,116.7004,-337.5539,-2.044947
531,115.5416,-338.4618,-1.869313
532,115.1067,-339.8752,-1.869313
533,114.6718,-341.2885,-1.869313
534,114.2369,-342.7019,-1.869313
535,113.8020,-344.1152,-1.869313
536,113.3671,-345.5285,-1.869313
537,112.9322,-346.9419,-1.869313
538,112.4973,-348.3552,-1.869313
539,112.0624,-349.7686,-1.869313
540,111.6275,-351.1819,-1.869313
541,111.1926,-352.5952,-1.869313
542,110.7577,-354.0086,-1.869313
543,110.3228,-355.4219,-1.869313
544,109.8879,-356.8353,-1.869313
545,109.4530,-358.2486,-1.869313
546,109.0181,-359.6619,-1.869313
547,108.5832,-361.0753,-1.869313
548,108.1483,-362.4886,-1.869313
549,107.7134,-363.9020,-1.869313
550,107.2785,-365.3153,-1.869313
551,106.8436,-366.7286,-1.869313
552,106.4087,-368.1420,-1.869313
553,105.9738,-369.5553,-1.869313
554,105.5389,-370.9687,-1.869313
555,105.1040,-372.3820,-1.869313
556,104.6691,-373.7953,-1.869313
557,104.2342,-375.2087,-1.869313
558,103.7993,-376.6220,-1.869313
559,103.3644,-378.0354,-1.869313
560,102.9295,-379.4487,-1.869313
561,102.4946,-380.8620,-1.869313
562,102.0597,-382.2754,-1.869313
563,101.6248,-383.6887,-1.869313
564,101.1899,-385.1021,-1.869313
565,100.7550,-386.5154,-1.869313
566,100.3201,-387.9287,-1.869313
567,99.8852,-389.3421,-1.869313
568,99.4503,-390.7554,-1.869313
569,99.0154,-392.1688,-1.865005
570,98.5805,-393.5821,-1.853702
571,98.1456,-394.9954,-1.842399
572,97.7106,-396.4088,-1.831098
573,97.3290,-397.8418,-1.831098
574,96.9473,-399.2748,-1.831098
575,96.5656,-400.7078,-1.831098
576,96.1840,-402.1408,-1.831098
577,95.8023,-403.5738,-1.831098
578,95.4206,-405.0068,-1.831098
579,95.0389,-406.4398,-1.831098
580,94.6573,-407.8728,-1.831098
581,94.2756,-409.3058,-1.831098
582,93.8939,-410.7388,-1.831098
583,93.5123,-412.1718,-1.831098
584,93.1306,-413.6048,-1.831098
585,92.7489,-415.0378,-1.831098
586,92.3672,-416.4708,-1.831098
587,91.9856,-417.9038,-1.831098
588,91.6039,-419.3368,-1.831098
589,91.2222,-420.7698,-1.831098
590,90.8406,-422.2028,-1.831098
591,90.4589,-423.6358,-1.831098
592,90.0772,-425.0688,-1.831098
593,89.6955,-426.5018,-1.831098
594,89.3139,-427.9348,-1.831098
595,88.9322,-429.3678,-1.831098
596,88.5505,-430.8008,-1.831098
597,88.1688,-432.2338,-1.831098
598,87.7872,-433.6668,-1.831098
599,87.4055,-435.0998,-1.831098
600,87.0238,-436.5328,-1.831098
601,86.6422,-437.9658,-1.831098
602,86.2605,-439.3988,-1.831098
603,85.8788,-440.8318,-1.831098
604,85.4971,-442.2648,-1.831098
605,85.1155,-443.6978,-1.831098
606,84.7338,-445.1308,-1.831098
607,84.3521,-446.5638,-1.831098
608,83.9705,-447.9968,-1.831098
609,83.5888,-449.4298,-1.831098
610,83.2071,-450.8628,-1.831098
611,82.8254,-452.2958,-1.831098
612,82.4438,-453.7288,-1.831098
613,82.0621,-455.1618,-1.830367
614,81.6804,-456.5948,-1.825315
615,81.2988,-458.0278,-1.798331
616,80.9171,-459.4608,-1.723924
617,80.7061,-460.2746,-1.658288
618,80.4951,-461.0884,-1.588468
619,80.2330,-462.3189,-1.489468
620,80.1235,-463.3534,-1.428217
621,80.1597,-464.3931,-1.396011
622,80.3343,-465.6391,-1.383323
623,80.4874,-466.4657,-1.382207
624,80.6404,-467.2923,-1.381090
625,80.9209,-468.7530,-1.381090
626,81.2013,-470.2136,-1.381090
627,81.4818,-471.6743,-1.381090
628,81.7623,-473.1350,-1.381090
